neuron_id,animal_id,brain_region,genotype,treatment,replicate,firing_rate_hz,spine_density,cell_survived
N0083,A028,Amygdala,WT,Acute_Stress,5,7.36,6.94,1
N0079,A027,Amygdala,WT,Acute_Stress,1,6.37,6.27,1
N0041,A014,Prefrontal_Cortex,WT,Control,5,2.44,11.24,1
N0086,A029,Amygdala,WT,Deprivation,2,4.13,12.46,0
N0075,A025,Amygdala,WT,Control,3,5.49,10.46,1
N0082,A028,Amygdala,WT,Acute_Stress,4,7.55,7.54,0
N0024,A008,Hippocampus,Knockout_GeneX,Control,6,3.38,9.44,1
N0035,A012,Hippocampus,Knockout_GeneX,Deprivation,5,4.31,10.59,1
N0097,A033,Amygdala,Knockout_GeneX,Acute_Stress,1,6.15,5.83,1
N0095,A032,Amygdala,Knockout_GeneX,Control,5,2.81,11.22,1
N0005,A002,Hippocampus,WT,Control,5,4.98,12.98,1
N0104,A035,Amygdala,Knockout_GeneX,Deprivation,2,3.02,12.97,1
N0016,A006,Hippocampus,WT,Deprivation,4,7.56,14.15,1
N0092,A031,Amygdala,Knockout_GeneX,Control,2,4.35,7.1,1
N0042,A014,Prefrontal_Cortex,WT,Control,6,3.62,10.56,1
N0052,A018,Prefrontal_Cortex,WT,Deprivation,4,2.46,13.66,1
N0046,A016,Prefrontal_Cortex,WT,Acute_Stress,4,6.61,8.22,1
N0100,A034,Amygdala,Knockout_GeneX,Acute_Stress,4,5.61,4.0,1
N0053,A018,Prefrontal_Cortex,WT,Deprivation,5,3.11,11.09,1
N0027,A009,Hippocampus,Knockout_GeneX,Acute_Stress,3,7.69,9.44,1
N0107,A036,Amygdala,Knockout_GeneX,Deprivation,5,0.1,8.16,1
N0044,A015,Prefrontal_Cortex,WT,Acute_Stress,2,5.46,11.53,0
N0068,A023,Prefrontal_Cortex,Knockout_GeneX,Deprivation,2,0.97,,1
N0025,A009,Hippocampus,Knockout_GeneX,Acute_Stress,1,7.16,8.76,1
N0070,A024,Prefrontal_Cortex,Knockout_GeneX,Deprivation,4,0.85,10.26,1
N0078,A026,Amygdala,WT,Control,6,5.32,11.87,1
N0050,A017,Prefrontal_Cortex,WT,Deprivation,2,2.12,14.49,1
N0022,A008,Hippocampus,Knockout_GeneX,Control,4,3.56,11.1,1
N0004,A002,Hippocampus,WT,Control,4,7.24,13.38,1
N0031,A011,Hippocampus,Knockout_GeneX,Deprivation,1,3.4,,1
N0048,A016,Prefrontal_Cortex,WT,Acute_Stress,6,6.87,8.99,1
N0084,A028,Amygdala,WT,Acute_Stress,6,8.26,10.92,1
N0009,A003,Hippocampus,WT,Acute_Stress,3,7.0,6.46,1
N0061,A021,Prefrontal_Cortex,Knockout_GeneX,Acute_Stress,1,5.59,8.41,1
N0001,A001,Hippocampus,WT,Control,1,6.05,11.75,1
N0099,A033,Amygdala,Knockout_GeneX,Acute_Stress,3,3.87,,1
N0058,A020,Prefrontal_Cortex,Knockout_GeneX,Control,4,3.69,7.78,1
N0023,A008,Hippocampus,Knockout_GeneX,Control,5,5.43,11.68,1
N0062,A021,Prefrontal_Cortex,Knockout_GeneX,Acute_Stress,2,6.73,5.44,1
N0064,A022,Prefrontal_Cortex,Knockout_GeneX,Acute_Stress,4,5.55,8.53,1
N0008,A003,Hippocampus,WT,Acute_Stress,2,8.9,6.26,1
N0105,A035,Amygdala,Knockout_GeneX,Deprivation,3,0.93,9.13,1
N0014,A005,Hippocampus,WT,Deprivation,2,3.91,11.99,0
N0069,A023,Prefrontal_Cortex,Knockout_GeneX,Deprivation,3,2.86,10.74,1
N0094,A032,Amygdala,Knockout_GeneX,Control,4,3.67,8.06,1
N0015,A005,Hippocampus,WT,Deprivation,3,5.4,,1
N0030,A010,Hippocampus,Knockout_GeneX,Acute_Stress,6,10.51,5.34,1
N0029,A010,Hippocampus,Knockout_GeneX,Acute_Stress,5,7.2,9.77,1
N0012,A004,Hippocampus,WT,Acute_Stress,6,7.34,10.71,1
N0085,A029,Amygdala,WT,Deprivation,1,2.28,10.31,1
N0019,A007,Hippocampus,Knockout_GeneX,Control,1,3.79,11.9,1
N0021,A007,Hippocampus,Knockout_GeneX,Control,3,4.66,9.31,1
N0051,A017,Prefrontal_Cortex,WT,Deprivation,3,3.65,15.94,1
N0026,A009,Hippocampus,Knockout_GeneX,Acute_Stress,2,6.6,6.26,1
N0007,A003,Hippocampus,WT,Acute_Stress,1,8.27,5.56,1
N0072,A024,Prefrontal_Cortex,Knockout_GeneX,Deprivation,6,2.77,9.57,1
N0077,A026,Amygdala,WT,Control,5,4.55,13.29,1
N0002,A001,Hippocampus,WT,Control,2,6.21,14.74,1
N0017,A006,Hippocampus,WT,Deprivation,5,5.31,12.31,1
N0065,A022,Prefrontal_Cortex,Knockout_GeneX,Acute_Stress,5,5.62,5.71,1
N0080,A027,Amygdala,WT,Acute_Stress,2,6.28,8.08,1
N0006,A002,Hippocampus,WT,Control,6,4.99,,1
N0076,A026,Amygdala,WT,Control,4,3.62,12.87,1
N0010,A004,Hippocampus,WT,Acute_Stress,4,7.31,10.08,1
N0073,A025,Amygdala,WT,Control,1,4.81,14.62,1
N0013,A005,Hippocampus,WT,Deprivation,1,3.84,15.33,1
N0038,A013,Prefrontal_Cortex,WT,Control,2,3.57,9.37,1
